,,,,,,,,,,,,,,,,
,,,battery_power,,,clock_speed,Count of clock_speed,,dual_sim,Count of dual_sim,,n_cores,Count of n_cores,,ram Statisticts,
,,,Statisticts,,,0.5,413,,1,1019,,4,274,,,
,,,Mean,1238.5185,,2.8,85,,0,981,,7,259,,Mean,2124.213
,,,Standard Error,9.825689794,,2.3,78,,Grand Total,2000,,8,256,,Standard Error,24.25534587
,,,Median,1226,,2.1,76,,,,,2,247,,Median,2146.5
,,,Mode,1589,,1.6,76,,,,,3,246,,Mode,2227
,,,Standard Deviation,439.4182061,,2.5,74,,,,,5,246,,Standard Deviation,1084.732044
,,,Sample Variance,193088.3598,,0.6,74,,,,,1,242,,Sample Variance,1176643.606
,,,Kurtosis,-1.224143883,,1.4,70,,,,,6,230,,Kurtosis,-1.19191307
,,,Skewness,0.031898472,,1.3,68,,price_range,Count of price_range,,Grand Total,2000,,Skewness,0.006628035
,,,Range,1497,,1.5,67,,3,500,,,,,Range,3742
,,,Minimum,501,,2,67,,2,500,,,,,Minimum,256
,,,Maximum,1998,,1.9,65,,0,500,,,,,Maximum,3998
,,,Sum,2477037,,0.7,64,,1,500,,,,,Sum,4248426
,,,Count,2000,,2.9,62,,Grand Total,2000,,,,,Count,2000
,,,,,,1.8,62,,,,,,,,,
,,,,,,1,61,,,,,,,,,
,,,,,,1.7,60,,,,,,,,,
,,,,,,2.2,59,,,,,,,,,
,,,,,,0.9,58,,,,,,,,,
,,,,,,0.8,58,,,,,,,,,
,,,,,,2.4,58,,,,,,,,,
,,,,,,1.2,56,,,,,,,,,
,,,,,,2.7,55,,,,,,,,,
,,,,,,2.6,55,,,,,,,,,
,,,,,,1.1,51,,,,,,,,,
,,,,,,3,28,,,,,,,,,
,,,,,,Grand Total,2000,,,,,,,,,
